handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_0aaf35e7-bc74-985c-bc6c-1b5942471459,Product,Donut Dreams Notepad,"<p>Donut Dreams Notepad </p><p>Professionally Printed</p><p> 5.5” X&nbsp; 5. 5""</p><p>50 sheets</p>",b09bd3_d32f7f05341046fc9c0ff5e63d6cfd38~mv2.jpg;b09bd3_d444baddd2654a3d89d64a0b8262b803~mv2.jpg;b09bd3_0c41b37306ed4f10b24583572016516c~mv2.jpg;b09bd3_05593c649c614292861e3c7ab44f4942~mv2.jpg;b09bd3_c38e2c37558d4b48a0b9c939ed784175~mv2.jpg;b09bd3_1729128814c34bdbbad7a4c5717210e9,New Items;Notepads;Stationary;WHOLESALE,,,11.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_59ae4ce6-4ee7-7cc8-d537-823f8edf1e8b,Product,Cosmic Brownie Notepad,<p>Cosmic Brownie Notepad</p><p>Profesionally Printed<br>5.5” X&nbsp; 8.5”</p><p>50 sheets</p>,b09bd3_b2e48ea154734f8db831a7d346158af2~mv2.jpg;b09bd3_777499d3f9a34a00a91c00c6140dcc07~mv2.jpg;b09bd3_2df59009bb514e9f8a8c65455e47bed4~mv2.jpg;b09bd3_972fca7f7a9c4f1eb381e170506ca671,New Items;Notepads;Stationary;WHOLESALE,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1b2a5c32-a099-1b58-c12f-5c9595ea1fc9,Product,Sprinkles Bullet Journal,"<p>Sprinkles Bullet Journal</p><p>Printed Professionally</p><p>6"" X 9"" with 100 Pages</p><p>&nbsp;</p><p>Hand drawn with 💖</p>",b09bd3_a8b4b1a9231d4fc6a36b5038e12e7afa~mv2.jpg;b09bd3_e26d41106cbc4366a65740ab0f5adb64~mv2.jpg;b09bd3_273aa70f263f445ba2e324ee772cb9e4~mv2.jpg;b09bd3_7df907e1bf5442f1bf179861e9848bad~mv2.jpg,Bullet Journals & Daily Planners;New Items;Stationary;WHOLESALE,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_94df9e11-5800-f036-23e6-0affc21c3c33,Product,Macaron Bullet Journal,"<p>Macaron Bullet Journal</p><p>Printed Professionally</p><p>6"" X 9"" with 100 Pages</p><p>&nbsp;</p><p>Hand drawn with 💖</p>",b09bd3_5eb5e5dc418a4ea5bd133eb1975e87ea~mv2.jpg;b09bd3_f2bf1603829b4835b5a8aaa62c7dfe14~mv2.jpg;b09bd3_ded3f6a3628d42b1ad8ffc36fbe21191~mv2.jpg;b09bd3_e9ec763efe4a4f78986246b627c7bbad~mv2.jpg,Bullet Journals & Daily Planners;New Items;Stationary;WHOLESALE,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_14feb8e2-f621-fde0-a493-1f0aa260d419,Product,Moon Bullet Journal,"<p>Moon Bullet Journal</p><p>Printed Professionally</p><p>6"" X 9"" with 100 Pages</p><p>&nbsp;</p><p>Hand drawn with 💖</p>",b09bd3_afc6286d52fe4dfdbd9b5b3f15160d71~mv2.jpg;b09bd3_f2bf1603829b4835b5a8aaa62c7dfe14~mv2.jpg;b09bd3_2d4ee1e5dcc744b881eee8f94fe4d697~mv2.jpg;b09bd3_de32a67361de4a6495a09f46f1a9ac14~mv2.jpg,Bullet Journals & Daily Planners;New Items;Stationary;WHOLESALE,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_5b6beb9a-4395-6818-107f-ba284f870c1a,Product,Macaron Magnet,"<p>Printed professionally</p><p>3""x 2"" Magnet</p><p>&nbsp;</p>",b09bd3_2f944332f0434783a336cebc22405be8~mv2.jpg;b09bd3_cb02fe80f68c46e3b8e4fe4aa3506cdd~mv2.jpg,Magnets;New Items;WHOLESALE,,,3.5,,true,PERCENT,0.0,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_366bcd7c-16af-1318-bef8-d23bc226e645,Product,No Risk No Magic Magnet,"<p>Printed professionally</p><p>3"" x 3"" Magnet</p><p>&nbsp;</p><p>&nbsp;</p>",b09bd3_9792ec627a00467e85b9e5d734c2d0cf~mv2.jpg;b09bd3_a411f8bc1f624e15a24d61c2aab59e2c~mv2.jpg,Magnets;New Items;WHOLESALE,,,3.5,,true,PERCENT,0.0,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_5c675700-6f0d-e256-8685-849343a468d6,Product,Heartbreaker Magnet,"<p>Printed professionally</p><p>3""x3"" Magnet</p><p>&nbsp;</p><p>&nbsp;</p>",b09bd3_043a31b938f24aaca3669f84054ca9c6~mv2.png;b09bd3_b19df2916a7b4561937b92b739fa7571~mv2.jpg;b09bd3_ec9ce86245f743ba99fe7b862e75501f~mv2.jpg,Magnets;New Items;WHOLESALE,,,3.5,,true,PERCENT,0.0,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_64c4262c-72f0-3c5a-dad5-5116ef56b076,Product,Count your Rainbows Magnet,"<p>Printed professionally</p><p>3"" x 3"" Magnet</p><p>&nbsp;</p><p>&nbsp;</p>",b09bd3_fa2eaa8151454c40bada13d555b17019~mv2.jpg;b09bd3_6a27592c38a84df3b06119c13c50a74b~mv2.jpg;b09bd3_ec9ce86245f743ba99fe7b862e75501f~mv2.jpg,Magnets;New Items;WHOLESALE,,,3.5,,true,PERCENT,0.0,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a95f7240-b8f4-e7b1-2090-64594d73457d,Product,Self Love Vinyl Sticker,<p>Printed professionally on Vinyl</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>,b09bd3_dd9d6013a662404cb428ade8963a1021~mv2.jpg;b09bd3_26a38d477a7b41bfb5f1bc02fec21d5f~mv2.jpg,All Stickers;New Items;Sale Items;WHOLESALE,,,3.0,,true,AMOUNT,0.0,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
